********** Daily MYD08_D3.051 product **********
Selected Application: latlonplot 
Aerosol Optical Depth at 550 nm [unitless] (Optical_Depth_Land_And_Ocean_Mean)
Selected time period: 01Jan2012
Fill value:  -9999.0
User selected area:  (Lat: 90.0S - 90.0N) (Lon: 180.0W - 180.0E)
Actual output area:  (Lat: 89.5S - 89.5N) (Lon: 179.5W - 179.5E)
latitude     longitude      Optical_Depth_Land_And_Ocean_Mean
(degrees)    (degrees)      [unitless]
-88.500     -137.500    -9.99900e+03
-88.500     -136.500    -9.99900e+03
-88.500     -135.500    -9.99900e+03
-88.500     -134.500    -9.99900e+03
-88.500     -133.500    -9.99900e+03
-88.500     -132.500    -9.99900e+03
-88.500     -131.500    -9.99900e+03
-88.500     -130.500    -9.99900e+03
-88.500     -129.500    -9.99900e+03
-88.500     -128.500    -9.99900e+03
-88.500     -127.500    -9.99900e+03
-88.500     -126.500    -9.99900e+03
-88.500     -125.500    -9.99900e+03
-88.500     -124.500    -9.99900e+03
-88.500     -123.500    -9.99900e+03
-88.500     -122.500    -9.99900e+03
-88.500     -121.500    -9.99900e+03
-88.500     -120.500    -9.99900e+03
-88.500     -119.500    -9.99900e+03
-88.500     -118.500    -9.99900e+03
-88.500     -117.500    -9.99900e+03
-88.500     -116.500    -9.99900e+03
-88.500     -115.500    -9.99900e+03
-88.500     -114.500    -9.99900e+03
-88.500     -113.500    -9.99900e+03
-88.500     -112.500    -9.99900e+03
-88.500     -111.500    -9.99900e+03
-88.500     -110.500    -9.99900e+03
-88.500     -109.500    -9.99900e+03
-88.500     -108.500    -9.99900e+03
-88.500     -107.500    -9.99900e+03
-88.500     -106.500    -9.99900e+03
-88.500     -105.500    -9.99900e+03
-88.500     -104.500    -9.99900e+03
-88.500     -103.500    -9.99900e+03
-88.500     -102.500    -9.99900e+03
-88.500     -101.500    -9.99900e+03
-88.500     -100.500    -9.99900e+03
-88.500      -99.500    -9.99900e+03
-88.500      -98.500    -9.99900e+03
-88.500      -97.500    -9.99900e+03
-88.500      -96.500    -9.99900e+03
-88.500      -95.500    -9.99900e+03
-88.500      -94.500    -9.99900e+03
-88.500      -93.500    -9.99900e+03
-88.500      -92.500    -9.99900e+03
-88.500      -91.500    -9.99900e+03
-88.500      -90.500    -9.99900e+03
-88.500      -89.500    -9.99900e+03
-88.500      -88.500    -9.99900e+03
-88.500      -87.500    -9.99900e+03
-88.500      -86.500    -9.99900e+03
-88.500      -85.500    -9.99900e+03
-88.500      -84.500    -9.99900e+03
-88.500      -83.500    -9.99900e+03
-88.500      -82.500    -9.99900e+03
-88.500      -81.500    -9.99900e+03
-88.500      -80.500    -9.99900e+03
-88.500      -79.500    -9.99900e+03
-88.500      -78.500    -9.99900e+03
-88.500      -77.500    -9.99900e+03
-88.500      -76.500    -9.99900e+03
-88.500      -75.500    -9.99900e+03
-88.500      -74.500    -9.99900e+03
-88.500      -73.500    -9.99900e+03
-88.500      -72.500    -9.99900e+03
-88.500      -71.500    -9.99900e+03
-88.500      -70.500    -9.99900e+03
-88.500      -69.500    -9.99900e+03
-88.500      -68.500    -9.99900e+03
-88.500      -67.500    -9.99900e+03
-88.500      -66.500    -9.99900e+03
-88.500      -65.500    -9.99900e+03
-88.500      -64.500    -9.99900e+03
-88.500      -63.500    -9.99900e+03
-88.500      -62.500    -9.99900e+03
-88.500      -61.500    -9.99900e+03
-88.500      -60.500    -9.99900e+03
-88.500      -59.500    -9.99900e+03
-88.500      -58.500    -9.99900e+03
-88.500      -57.500    -9.99900e+03
-88.500      -56.500    -9.99900e+03
-88.500      -55.500    -9.99900e+03
-88.500      -54.500    -9.99900e+03
-88.500      -53.500    -9.99900e+03
-88.500      -52.500    -9.99900e+03
-88.500      -51.500    -9.99900e+03
-88.500      -50.500    -9.99900e+03
-88.500      -49.500    -9.99900e+03
-88.500      -48.500    -9.99900e+03
-88.500      -47.500    -9.99900e+03
-88.500      -46.500    -9.99900e+03
-88.500      -45.500    -9.99900e+03
-88.500      -44.500    -9.99900e+03
-88.500      -43.500    -9.99900e+03
-88.500      -42.500    -9.99900e+03
-88.500      -41.500    -9.99900e+03
-88.500      -40.500    -9.99900e+03
-88.500      -39.500    -9.99900e+03
-88.500      -38.500    -9.99900e+03
-88.500      -37.500    -9.99900e+03
-88.500      -36.500    -9.99900e+03
-88.500      -35.500    -9.99900e+03
-88.500      -34.500    -9.99900e+03
-88.500      -33.500    -9.99900e+03
-88.500      -32.500    -9.99900e+03
-88.500      -31.500    -9.99900e+03
-88.500      -30.500    -9.99900e+03
-88.500      -29.500    -9.99900e+03
-88.500      -28.500    -9.99900e+03
-88.500      -27.500    -9.99900e+03
-88.500      -26.500    -9.99900e+03
-88.500      -25.500    -9.99900e+03
-88.500      -24.500    -9.99900e+03
-88.500      -23.500    -9.99900e+03
-88.500      -22.500    -9.99900e+03
-88.500      -21.500    -9.99900e+03
-88.500      -20.500    -9.99900e+03
-88.500      -19.500    -9.99900e+03
-88.500      -18.500    -9.99900e+03
-88.500      -17.500    -9.99900e+03
-88.500      -16.500    -9.99900e+03
-88.500      -15.500    -9.99900e+03
-88.500      -14.500    -9.99900e+03
-88.500      -13.500    -9.99900e+03
-88.500      -12.500    -9.99900e+03
-88.500      -11.500    -9.99900e+03
-88.500      -10.500    -9.99900e+03
-88.500       -9.500    -9.99900e+03
-88.500       -8.500    -9.99900e+03
-88.500       -7.500    -9.99900e+03
-88.500       -6.500    -9.99900e+03
-88.500       -5.500    -9.99900e+03
-88.500       -4.500    -9.99900e+03
-88.500       -3.500    -9.99900e+03
-88.500       -2.500    -9.99900e+03
-88.500       -1.500    -9.99900e+03
-88.500       -0.500    -9.99900e+03
-88.500        0.500    -9.99900e+03
-88.500        1.500    -9.99900e+03
-88.500        2.500    -9.99900e+03
-88.500        3.500    -9.99900e+03
-88.500        4.500    -9.99900e+03
-88.500        5.500    -9.99900e+03
-88.500        6.500    -9.99900e+03
-88.500        7.500    -9.99900e+03
-88.500        8.500    -9.99900e+03
-88.500        9.500    -9.99900e+03
-88.500       10.500    -9.99900e+03
-88.500       11.500    -9.99900e+03
-88.500       12.500    -9.99900e+03
-88.500       13.500    -9.99900e+03
-88.500       14.500    -9.99900e+03
-88.500       15.500    -9.99900e+03
-88.500       16.500    -9.99900e+03
-88.500       17.500    -9.99900e+03
-88.500       18.500    -9.99900e+03
-88.500       19.500    -9.99900e+03
-88.500       20.500    -9.99900e+03
-88.500       21.500    -9.99900e+03
-88.500       22.500    -9.99900e+03
-88.500       23.500    -9.99900e+03
-88.500       24.500    -9.99900e+03
-88.500       25.500    -9.99900e+03
-88.500       26.500    -9.99900e+03
-88.500       27.500    -9.99900e+03
-88.500       28.500    -9.99900e+03
-88.500       29.500    -9.99900e+03
-88.500       30.500    -9.99900e+03
-88.500       31.500    -9.99900e+03
-88.500       32.500    -9.99900e+03
-88.500       33.500    -9.99900e+03
-88.500       34.500    -9.99900e+03
-88.500       35.500    -9.99900e+03
-88.500       36.500    -9.99900e+03
-88.500       37.500    -9.99900e+03
-88.500       38.500    -9.99900e+03
-88.500       39.500    -9.99900e+03
-88.500       40.500    -9.99900e+03
-88.500       41.500    -9.99900e+03
-88.500       42.500    -9.99900e+03
-88.500       43.500    -9.99900e+03
-88.500       44.500    -9.99900e+03
-88.500       45.500    -9.99900e+03
-88.500       46.500    -9.99900e+03
-88.500       47.500    -9.99900e+03
-88.500       48.500    -9.99900e+03
-88.500       49.500    -9.99900e+03
-88.500       50.500    -9.99900e+03
-88.500       51.500    -9.99900e+03
-88.500       52.500    -9.99900e+03
-88.500       53.500    -9.99900e+03
-88.500       54.500    -9.99900e+03
-88.500       55.500    -9.99900e+03
-88.500       56.500    -9.99900e+03
-88.500       57.500    -9.99900e+03
-88.500       58.500    -9.99900e+03
-88.500       59.500    -9.99900e+03
-88.500       60.500    -9.99900e+03
-88.500       61.500    -9.99900e+03
-88.500       62.500    -9.99900e+03
-88.500       63.500    -9.99900e+03
-88.500       64.500    -9.99900e+03
-88.500       65.500    -9.99900e+03
-88.500       66.500    -9.99900e+03
-88.500       67.500    -9.99900e+03
-88.500       68.500    -9.99900e+03
-88.500       69.500    -9.99900e+03
-88.500       70.500    -9.99900e+03
-88.500       71.500    -9.99900e+03
-88.500       72.500    -9.99900e+03
-88.500       73.500    -9.99900e+03
-88.500       74.500    -9.99900e+03
-88.500       75.500    -9.99900e+03
-88.500       76.500    -9.99900e+03
-88.500       77.500    -9.99900e+03
-88.500       78.500    -9.99900e+03
-88.500       79.500    -9.99900e+03
-88.500       80.500    -9.99900e+03
-88.500       81.500    -9.99900e+03
-88.500       82.500    -9.99900e+03
-88.500       83.500    -9.99900e+03
